(venv) PS C:\Users\ctlab\tomoka> python training.py                                                                              
Using device: cuda
Train: 9469 images | Val: 3925 images
Loaded frozen ACNNP weights from 'baseline_acnnp_amp.pth'
  train epoch 13/20 batch 150/1184 | loss 0.002909 | elapsed 0.5 min
  train epoch 13/20 batch 200/1184 | loss 0.002883 | elapsed 0.7 min
  train epoch 13/20 batch 250/1184 | loss 0.002888 | elapsed 0.8 min
  train epoch 13/20 batch 300/1184 | loss 0.002869 | elapsed 1.0 min
  train epoch 13/20 batch 350/1184 | loss 0.002873 | elapsed 1.2 min
  train epoch 13/20 batch 400/1184 | loss 0.002870 | elapsed 1.3 min
  train epoch 13/20 batch 450/1184 | loss 0.002860 | elapsed 1.5 min
  train epoch 13/20 batch 500/1184 | loss 0.002871 | elapsed 1.7 min
  train epoch 13/20 batch 550/1184 | loss 0.002865 | elapsed 1.8 min
  train epoch 13/20 batch 600/1184 | loss 0.002865 | elapsed 2.0 min
  train epoch 13/20 batch 650/1184 | loss 0.002864 | elapsed 2.2 min
  train epoch 13/20 batch 700/1184 | loss 0.002861 | elapsed 2.3 min
  train epoch 13/20 batch 750/1184 | loss 0.002863 | elapsed 2.5 min
  train epoch 13/20 batch 800/1184 | loss 0.002864 | elapsed 2.7 min
  train epoch 13/20 batch 850/1184 | loss 0.002859 | elapsed 2.8 min
  train epoch 13/20 batch 900/1184 | loss 0.002867 | elapsed 3.0 min
